ñºëO,ëSëÃ,,,ÉRÅ[Éh,ñ,âÒêî,äÑçá,èáà ,,âÒ,ÉXÉRÉA,,ã«,ïΩãœì_êî,âÒêî,çáåv
,,,,,,,,,,1728,+0.0,,,,,
,,,,,,,,,,1729,-29.5,,,,,
,,,,,,,,,,1730,-30.0,,,,,
,,,,,,,,,,1731,+0.0,,,,,
,,,,,,,,,,1732,+0.9,,,,,
,,,,,,,,,,1733,+49.8,,,,,
,,,,,,,,,,1734,+0.0,,,,,
,,,,,,,,,,1735,-23.7,,,,,
,,,,,,,,,,1736,-0.6,,,,,
,,,,,,,,,,1737,+0.0,,,,,
,,,,,,,,,,1738,+9.0,,,,,
,,,,,,,,,,1739,-31.5,,,,,
,,,,,,,,,,1740,+0.0,,,,,
,,,,,,,,,,1741,+26.9,,,,,
,,,,,,,,,,1742,+28.4,,,,,
,,,,,,,,,,1743,+0.0,,,,,
,,,,,,,,,,1744,-33.8,,,,,
,,,,,,,,,,1745,+5.1,,,,,
,,,,,,,,,,1746,+0.0,,,,,
,,,,,,,,,,1747,-31.8,,,,,
,,,,,,,,,,1748,-1.5,,,,,
,,,,,,,,,,1749,+0.0,,,,,
,,,,,,,,,,1750,-0.8,,,,,
,,,,,,,,,,1751,+26.9,,,,,
,,,,,,,,,,1752,+0.0,,,,,
,,,,,,,,,,1753,+72.0,,,,,
,,,,,,,,,,1754,+62.0,,,,,
,,,,,,,,,,1755,+0.0,,,,,
,,,,,,,,,,1756,-32.7,,,,,
,,,,,,,,,,1757,-31.1,,,,,
,,,,,,,,,,1758,+0.0,,,,,
,,,,,,,,,,1759,-36.6,,,,,
,,,,,,,,,,1760,-0.8,,,,,
,,,,,,,,,,1761,+0.0,,,,,
,,,,,,,,,,1762,-29.4,,,,,
,,,,,,,,,,1763,-37.6,,,,,
,,,,,,,,,,1764,+0.0,,,,,
,,,,,,,,,,1765,-48.3,,,,,
,,,,,,,,,,1766,-53.2,,,,,
,,,,,,,,,,1767,+0.0,,,,,
,,,,,,,,,,1768,-32.8,,,,,
,,,,,,,,,,1769,+3.3,,,,,
,,,,,,,,,,1770,+0.0,,,,,
,,,,,,,,,,1771,-1.8,,,,,
,,,,,,,,,,1772,-28.2,,,,,
,,,,,,,,,,1773,+0.0,,,,,
,,,,,,,,,,1774,-56.8,,,,,
,,,,,,,,,,1775,+4.2,,,,,
,,,,,,,,,,1776,+0.0,,,,,
,,,,,,,,,,1777,-32.5,,,,,
,,,,,,,,,,1778,+2.9,,,,,
,,,,,,,,,,1779,+0.0,,,,,
,,,,,,,,,,1780,-12.7,,,,,
,,,,,,,,,,1781,+42.8,,,,,
,,,,,,,,,,1782,+0.0,,,,,
,,,,,,,,,,1783,-43.1,,,,,
,,,,,,,,,,1784,-9.8,,,,,
,,,,,,,,,,1785,+0.0,,,,,
,,,,,,,,,,1786,+26.5,,,,,
,,,,,,,,,,1787,-0.3,,,,,
,,,,,,,,,,1788,+0.0,,,,,
,,,,,,,,,,1789,+40.8,,,,,
,,,,,,,,,,1790,+34.1,,,,,
,,,,,,,,,,1791,+0.0,,,,,
,,,,,,,,,,1792,-3.0,,,,,
,,,,,,,,,,1793,+37.4,,,,,
,,,,,,,,,,1794,+0.0,,,,,
,,,,,,,,,,1795,+58.8,,,,,
,,,,,,,,,,1796,+0.8,,,,,
,,,,,,,,,,1797,+0.0,,,,,
,,,,,,,,,,1798,+8.6,,,,,
,,,,,,,,,,1799,+56.1,,,,,
,,,,,,,,,,1800,+0.0,,,,,
,,,,,,,,,,1801,-35.7,,,,,
,,,,,,,,,,1802,-37.6,,,,,
,,,,,,,,,,1803,+0.0,,,,,
,,,,,,,,,,1804,+5.2,,,,,
,,,,,,,,,,1805,+59.6,,,,,
,,,,,,,,,,1806,+0.0,,,,,
,,,,,,,,,,1807,+29.6,,,,,
,,,,,,,,,,1808,+32.4,,,,,
,,,,,,,,,,1809,+0.0,,,,,
,,,,,,,,,,1810,+44.5,,,,,
,,,,,,,,,,1811,+41.4,,,,,
,,,,,,,,,,1812,+0.0,,,,,
,,,,,,,,,,1813,+7.0,,,,,
,,,,,,,,,,1814,-27.5,,,,,
,,,,,,,,,,1815,+0.0,,,,,
,,,,,,,,,,1816,-4.6,,,,,
,,,,,,,,,,1817,+46.5,,,,,
,,,,,,,,,,1818,+0.0,,,,,
,,,,,,,,,,1819,-29.1,,,,,
,,,,,,,,,,1820,-36.5,,,,,
,,,,,,,,,,1821,+0.0,,,,,
,,,,,,,,,,1822,+42.5,,,,,
,,,,,,,,,,1823,+34.6,,,,,
,,,,,,,,,,1824,+0.0,,,,,
,,,,,,,,,,1825,-46.1,,,,,
,,,,,,,,,,1826,-11.6,,,,,
,,,,,,,,,,1827,+0.0,,,,,
,,,,,,,,,,1828,-54.0,,,,,
,,,,,,,,,,1829,-67.3,,,,,
,,,,,,,,,,1830,+0.0,,,,,
,,,,,,,,,,1831,-34.0,,,,,
,,,,,,,,,,1832,-32.2,,,,,
,,,,,,,,,,1833,+0.0,,,,,
,,,,,,,,,,1834,+48.0,,,,,
,,,,,,,,,,1835,+44.3,,,,,
,,,,,,,,,,1836,+0.0,,,,,
,,,,,,,,,,1837,+55.1,,,,,
,,,,,,,,,,1838,+51.1,,,,,
,,,,,,,,,,1839,+0.0,,,,,
,,,,,,,,,,1840,-16.6,,,,,
,,,,,,,,,,1841,+58.6,,,,,
,,,,,,,,,,1842,+0.0,,,,,
,,,,,,,,,,1843,-36.4,,,,,
,,,,,,,,,,1844,-0.9,,,,,
,,,,,,,,,,1845,+0.0,,,,,
,,,,,,,,,,1846,+61.6,,,,,
,,,,,,,,,,1847,+16.8,,,,,
,,,,,,,,,,1848,+0.0,,,,,
,,,,,,,,,,1849,-7.2,,,,,
,,,,,,,,,,1850,-79.8,,,,,
,,,,,,,,,,1851,+0.0,,,,,
,,,,,,,,,,1852,+47.3,,,,,
,,,,,,,,,,1853,-8.5,,,,,
,,,,,,,,,,1854,+0.0,,,,,
,,,,,,,,,,1855,+61.0,,,,,
,,,,,,,,,,1856,+13.4,,,,,
,,,,,,,,,,1857,+0.0,,,,,
,,,,,,,,,,1858,+44.9,,,,,
,,,,,,,,,,1859,-19.6,,,,,
,,,,,,,,,,1860,+0.0,,,,,
,,,,,,,,,,1861,+52.0,,,,,
,,,,,,,,,,1862,-7.4,,,,,
,,,,,,,,,,1863,+0.0,,,,,
,,,,,,,,,,1864,-65.0,,,,,
,,,,,,,,,,1865,-65.0,,,,,
,,,,,,,,,,1866,+0.0,,,,,
,,,,,,,,,,1867,-10.8,,,,,
,,,,,,,,,,1868,-57.6,,,,,
,,,,,,,,,,1869,+0.0,,,,,
,,,,,,,,,,1870,-66.5,,,,,
,,,,,,,,,,1871,-19.5,,,,,
,,,,,,,,,,1872,+0.0,,,,,
,,,,,,,,,,1873,+11.1,,,,,
,,,,,,,,,,1874,-35.9,,,,,
,,,,,,,,,,1875,+0.0,,,,,
,,,,,,,,,,1876,-0.2,,,,,
,,,,,,,,,,1877,-26.5,,,,,
,,,,,,,,,,1878,+0.0,,,,,
,,,,,,,,,,1879,-7.0,,,,,
,,,,,,,,,,1880,+50.5,,,,,
,,,,,,,,,,1881,+0.0,,,,,
,,,,,,,,,,1882,-0.4,,,,,
,,,,,,,,,,1883,+24.4,,,,,
,,,,,,,,,,1884,+0.0,,,,,
,,,,,,,,,,1885,-47.1,,,,,
,,,,,,,,,,1886,-64.2,,,,,
,,,,,,,,,,1887,+0.0,,,,,
,,,,,,,,,,1888,-37.7,,,,,
,,,,,,,,,,1889,+15.3,,,,,
,,,,,,,,,,1890,+0.0,,,,,
,,,,,,,,,,1891,+40.2,,,,,
,,,,,,,,,,1892,+34.8,,,,,
,,,,,,,,,,1893,+0.0,,,,,
,,,,,,,,,,1894,+0.9,,,,,
,,,,,,,,,,1895,-47.5,,,,,
,,,,,,,,,,1896,+0.0,,,,,
,,,,,,,,,,1897,-61.6,,,,,
,,,,,,,,,,1898,-49.5,,,,,
,,,,,,,,,,1899,+0.0,,,,,
,,,,,,,,,,1900,-43.9,,,,,
,,,,,,,,,,1901,-34.7,,,,,
,,,,,,,,,,1902,+0.0,,,,,
,,,,,,,,,,1903,+62.7,,,,,
,,,,,,,,,,1904,+13.9,,,,,
,,,,,,,,,,1905,+0.0,,,,,
,,,,,,,,,,1906,+10.7,,,,,
,,,,,,,,,,1907,-47.0,,,,,
,,,,,,,,,,1908,+0.0,,,,,
,,,,,,,,,,1909,+35.7,,,,,
,,,,,,,,,,1910,-1.1,,,,,
,,,,,,,,,,1911,+0.0,,,,,
,,,,,,,,,,1912,+27.2,,,,,
,,,,,,,,,,1913,+25.3,,,,,
,,,,,,,,,,1914,+0.0,,,,,
,,,,,,,,,,1915,+15.8,,,,,
,,,,,,,,,,1916,+56.0,,,,,
,,,,,,,,,,1917,+0.0,,,,,
,,,,,,,,,,1918,+25.2,,,,,
,,,,,,,,,,1919,-3.6,,,,,
,,,,,,,,,,1920,+0.0,,,,,
,,,,,,,,,,1921,-9.3,,,,,
,,,,,,,,,,1922,+51.9,,,,,
,,,,,,,,,,1923,+0.0,,,,,
,,,,,,,,,,1924,+3.2,,,,,
,,,,,,,,,,1925,-27.6,,,,,
,,,,,,,,,,1926,+0.0,,,,,
,,,,,,,,,,1927,-2.8,,,,,
,,,,,,,,,,1928,+38.7,,,,,
,,,,,,,,,,1929,+0.0,,,,,
,,,,,,,,,,1930,-4.6,,,,,
,,,,,,,,,,1931,+45.6,,,,,
,,,,,,,,,,1932,+0.0,,,,,
,,,,,,,,,,1933,+24.5,,,,,
,,,,,,,,,,1934,-11.3,,,,,
,,,,,,,,,,1935,+0.0,,,,,
,,,,,,,,,,1936,-37.8,,,,,
,,,,,,,,,,1937,-46.9,,,,,
,,,,,,,,,,1938,+0.0,,,,,
,,,,,,,,,,1939,-12.0,,,,,
,,,,,,,,,,1940,+58.2,,,,,
,,,,,,,,,,1941,+0.0,,,,,
,,,,,,,,,,1942,-1.7,,,,,
,,,,,,,,,,1943,+24.3,,,,,
,,,,,,,,,,1944,+0.0,,,,,
,,,,,,,,,,1945,-28.2,,,,,
,,,,,,,,,,1946,-20.5,,,,,
,,,,,,,,,,1947,+0.0,,,,,
,,,,,,,,,,1948,-22.4,,,,,
,,,,,,,,,,1949,-61.2,,,,,
,,,,,,,,,,1950,+0.0,,,,,
,,,,,,,,,,1951,-25.1,,,,,
,,,,,,,,,,1952,-26.8,,,,,
,,,,,,,,,,1953,+0.0,,,,,
,,,,,,,,,,1954,+15.0,,,,,
,,,,,,,,,,1955,+0.6,,,,,
,,,,,,,,,,1956,+0.0,,,,,
,,,,,,,,,,1957,-30.2,,,,,
,,,,,,,,,,1958,-2.4,,,,,
,,,,,,,,,,1959,+0.0,,,,,
,,,,,,,,,,1960,+12.5,,,,,
,,,,,,,,,,1961,+47.3,,,,,
,,,,,,,,,,1962,+0.0,,,,,
,,,,,,,,,,1963,-5.9,,,,,
,,,,,,,,,,1964,+26.9,,,,,
,,,,,,,,,,1965,+0.0,,,,,
,,,,,,,,,,1966,+17.4,,,,,
,,,,,,,,,,1967,-5.3,,,,,
,,,,,,,,,,1968,+0.0,,,,,
,,,,,,,,,,1969,+10.3,,,,,
,,,,,,,,,,1970,-27.0,,,,,
,,,,,,,,,,1971,+0.0,,,,,
,,,,,,,,,,1972,-20.9,,,,,
,,,,,,,,,,1973,+0.3,,,,,
,,,,,,,,,,1974,+0.0,,,,,
,,,,,,,,,,1975,+2.2,,,,,
,,,,,,,,,,1976,-21.5,,,,,
,,,,,,,,,,1977,+0.0,,,,,
,,,,,,,,,,1978,-51.6,,,,,
,,,,,,,,,,1979,-33.7,,,,,
,,,,,,,,,,1980,+0.0,,,,,
,,,,,,,,,,1981,-5.9,,,,,
,,,,,,,,,,1982,-29.4,,,,,
,,,,,,,,,,1983,+0.0,,,,,
,,,,,,,,,,1984,-43.0,,,,,
,,,,,,,,,,1985,-54.2,,,,,
,,,,,,,,,,1986,+0.0,,,,,
,,,,,,,,,,1987,+7.6,,,,,
,,,,,,,,,,1988,-35.4,,,,,
,,,,,,,,,,1989,+0.0,,,,,
,,,,,,,,,,1990,+66.8,,,,,
,,,,,,,,,,1991,+6.7,,,,,
,,,,,,,,,,1992,+0.0,,,,,
,,,,,,,,,,1993,-49.5,,,,,
,,,,,,,,,,1994,-30.8,,,,,
,,,,,,,,,,1995,+0.0,,,,,
,,,,,,,,,,1996,+66.4,,,,,
,,,,,,,,,,1997,+17.7,,,,,
,,,,,,,,,,1998,+0.0,,,,,
,,,,,,,,,,1999,+17.7,,,,,
,,,,,,,,,,2000,-28.8,,,,,
,,,,,,,,,,2001,+0.0,,,,,
,,,,,,,,,,2002,+7.5,,,,,
,,,,,,,,,,2003,+28.6,,,,,
,,,,,,,,,,2004,+0.0,,,,,
,,,,,,,,,,2005,+39.5,,,,,
,,,,,,,,,,2006,-7.0,,,,,
,,,,,,,,,,2007,+0.0,,,,,
,,,,,,,,,,2008,-45.1,,,,,
,,,,,,,,,,2009,-39.2,,,,,
,,,,,,,,,,2010,+0.0,,,,,
,,,,,,,,,,2011,+17.7,,,,,
,,,,,,,,,,2012,-28.8,,,,,
,,,,,,,,,,2013,+0.0,,,,,
,,,,,,,,,,2014,+42.9,,,,,
,,,,,,,,,,2015,-0.8,,,,,
,,,,,,,,,,2016,+0.0,,,,,
,,,,,,,,,,2017,-58.0,,,,,
,,,,,,,,,,2018,+0.0,,,,,
,,,,,,,,,,2019,+0.0,,,,,
,,,,,,,,,,2020,-26.4,,,,,
,,,,,,,,,,2021,-26.9,,,,,
,,,,,,,,,,2022,+0.0,,,,,
,,,,,,,,,,2023,-34.9,,,,,
,,,,,,,,,,2024,-8.1,,,,,
,,,,,,,,,,2025,+0.0,,,,,
,,,,,,,,,,2026,+34.3,,,,,
,,,,,,,,,,2027,+31.5,,,,,
,,,,,,,,,,2028,+0.0,,,,,
,,,,,,,,,,2029,+34.5,,,,,
,,,,,,,,,,2030,+46.9,,,,,
,,,,,,,,,,2031,+0.0,,,,,
,,,,,,,,,,2032,-49.4,,,,,
,,,,,,,,,,2033,-18.0,,,,,
,,,,,,,,,,2034,+0.0,,,,,
,,,,,,,,,,2035,-10.8,,,,,
,,,,,,,,,,2036,-56.9,,,,,
,,,,,,,,,,2037,+0.0,,,,,
,,,,,,,,,,2038,+7.7,,,,,
,,,,,,,,,,2039,-22.7,,,,,
,,,,,,,,,,2040,+0.0,,,,,
,,,,,,,,,,2041,+2.5,,,,,
,,,,,,,,,,2042,+24.0,,,,,
,,,,,,,,,,2043,+0.0,,,,,
,,,,,,,,,,2044,+33.1,,,,,
,,,,,,,,,,2045,+6.7,,,,,
,,,,,,,,,,2046,+0.0,,,,,
,,,,,,,,,,2047,-44.2,,,,,
,,,,,,,,,,2048,-30.8,,,,,
,,,,,,,,,,2049,+0.0,,,,,
,,,,,,,,,,2050,-55.8,,,,,
,,,,,,,,,,2051,-50.5,,,,,
,,,,,,,,,,2052,+0.0,,,,,
,,,,,,,,,,2053,+31.7,,,,,
,,,,,,,,,,2054,-8.6,,,,,
,,,,,,,,,,2055,+0.0,,,,,
,,,,,,,,,,2056,-3.4,,,,,
,,,,,,,,,,2057,-24.7,,,,,
,,,,,,,,,,2058,+0.0,,,,,
,,,,,,,,,,2059,-16.7,,,,,
,,,,,,,,,,2060,-15.1,,,,,
,,,,,,,,,,2061,+0.0,,,,,
,,,,,,,,,,2062,-2.8,,,,,
,,,,,,,,,,2063,+14.1,,,,,
,,,,,,,,,,2064,+0.0,,,,,
,,,,,,,,,,2065,-43.8,,,,,
,,,,,,,,,,2066,+6.2,,,,,
,,,,,,,,,,2067,+0.0,,,,,
,,,,,,,,,,2068,-35.3,,,,,
,,,,,,,,,,2069,+7.3,,,,,
,,,,,,,,,,2070,+0.0,,,,,
,,,,,,,,,,2071,+60.1,,,,,
,,,,,,,,,,2072,+50.4,,,,,
,,,,,,,,,,2073,+0.0,,,,,
,,,,,,,,,,2074,-53.1,,,,,
,,,,,,,,,,2075,-53.2,,,,,
,,,,,,,,,,2076,+0.0,,,,,
,,,,,,,,,,2077,-21.9,,,,,
,,,,,,,,,,2078,+8.0,,,,,
,,,,,,,,,,2079,+0.0,,,,,
,,,,,,,,,,2080,+45.9,,,,,
,,,,,,,,,,2081,+45.7,,,,,
,,,,,,,,,,2082,+0.0,,,,,
,,,,,,,,,,2083,-27.1,,,,,
,,,,,,,,,,2084,-5.8,,,,,
,,,,,,,,,,2085,+0.0,,,,,
,,,,,,,,,,2086,+11.4,,,,,
,,,,,,,,,,2087,-25.3,,,,,
,,,,,,,,,,2088,+0.0,,,,,
,,,,,,,,,,2089,+22.0,,,,,
,,,,,,,,,,2090,+16.6,,,,,
,,,,,,,,,,2091,+0.0,,,,,
,,,,,,,,,,2092,+40.4,,,,,
,,,,,,,,,,2093,+45.8,,,,,
,,,,,,,,,,2094,+0.0,,,,,
,,,,,,,,,,2095,-32.6,,,,,
,,,,,,,,,,2096,-47.9,,,,,
,,,,,,,,,,2097,+0.0,,,,,
,,,,,,,,,,2098,+2.0,,,,,
,,,,,,,,,,2099,+15.0,,,,,
,,,,,,,,,,2100,+0.0,,,,,
,,,,,,,,,,2101,-0.5,,,,,
,,,,,,,,,,2102,+34.9,,,,,
,,,,,,,,,,2103,+0.0,,,,,
,,,,,,,,,,2104,+4.9,,,,,
,,,,,,,,,,2105,+49.2,,,,,
,,,,,,,,,,2106,+0.0,,,,,
,,,,,,,,,,2107,-31.3,,,,,
,,,,,,,,,,2108,-25.3,,,,,
,,,,,,,,,,2109,+0.0,,,,,
,,,,,,,,,,2110,-23.9,,,,,
,,,,,,,,,,2111,-22.0,,,,,
,,,,,,,,,,2112,+0.0,,,,,
,,,,,,,,,,2113,-1.9,,,,,
,,,,,,,,,,2114,+36.8,,,,,
,,,,,,,,,,2115,+0.0,,,,,
,,,,,,,,,,2116,-40.7,,,,,
,,,,,,,,,,2117,-33.4,,,,,
,,,,,,,,,,2118,+0.0,,,,,
,,,,,,,,,,2119,-30.5,,,,,
,,,,,,,,,,2120,+0.3,,,,,
,,,,,,,,,,2121,+0.0,,,,,
,,,,,,,,,,2122,+52.1,,,,,
,,,,,,,,,,2123,+49.3,,,,,
,,,,,,,,,,2124,+0.0,,,,,
,,,,,,,,,,2125,-5.6,,,,,
,,,,,,,,,,2126,-28.2,,,,,
,,,,,,,,,,2127,+0.0,,,,,
,,,,,,,,,,2128,-22.0,,,,,
,,,,,,,,,,2129,-20.9,,,,,
,,,,,,,,,,2130,+0.0,,,,,
,,,,,,,,,,2131,-1.0,,,,,
,,,,,,,,,,2132,+18.4,,,,,
,,,,,,,,,,2133,+0.0,,,,,
,,,,,,,,,,2134,-47.2,,,,,
,,,,,,,,,,2135,-56.7,,,,,
,,,,,,,,,,2136,+0.0,,,,,
,,,,,,,,,,2137,-45.5,,,,,
,,,,,,,,,,2138,-7.4,,,,,
,,,,,,,,,,2139,+0.0,,,,,
,,,,,,,,,,2140,-31.8,,,,,
,,,,,,,,,,2141,-26.3,,,,,
,,,,,,,,,,2142,+0.0,,,,,
,,,,,,,,,,2143,+23.0,,,,,
,,,,,,,,,,2144,+22.6,,,,,
,,,,,,,,,,2145,+0.0,,,,,
,,,,,,,,,,2146,-18.7,,,,,
,,,,,,,,,,2147,+31.4,,,,,
,,,,,,,,,,2148,+0.0,,,,,
,,,,,,,,,,2149,+11.5,,,,,
,,,,,,,,,,2150,-1.3,,,,,
,,,,,,,,,,2151,+0.0,,,,,
,,,,,,,,,,2152,-41.1,,,,,
,,,,,,,,,,2153,-1.0,,,,,
,,,,,,,,,,2154,+0.0,,,,,
,,,,,,,,,,2155,+61.9,,,,,
,,,,,,,,,,2156,+16.1,,,,,
,,,,,,,,,,2157,+0.0,,,,,
,,,,,,,,,,2158,-30.7,,,,,
,,,,,,,,,,2159,-8.9,,,,,
,,,,,,,,,,2160,+0.0,,,,,
,,,,,,,,,,2161,+4.6,,,,,
,,,,,,,,,,2162,-43.8,,,,,
,,,,,,,,,,2163,+0.0,,,,,
,,,,,,,,,,2164,+2.8,,,,,
,,,,,,,,,,2165,-12.9,,,,,
,,,,,,,,,,2166,+0.0,,,,,
,,,,,,,,,,2167,+46.9,,,,,
,,,,,,,,,,2168,+49.3,,,,,
,,,,,,,,,,2169,+0.0,,,,,
,,,,,,,,,,2170,+10.5,,,,,
,,,,,,,,,,2171,+37.0,,,,,
,,,,,,,,,,2172,+0.0,,,,,
,,,,,,,,,,2173,+34.1,,,,,
,,,,,,,,,,2174,+47.8,,,,,
,,,,,,,,,,2175,+0.0,,,,,
,,,,,,,,,,2176,-47.3,,,,,
,,,,,,,,,,2177,-42.7,,,,,
,,,,,,,,,,2178,+0.0,,,,,
,,,,,,,,,,2179,-32.3,,,,,
,,,,,,,,,,2180,-5.2,,,,,
,,,,,,,,,,2181,+0.0,,,,,
,,,,,,,,,,2182,-2.9,,,,,
,,,,,,,,,,2183,+15.1,,,,,
,,,,,,,,,,2184,+0.0,,,,,
,,,,,,,,,,2185,-45.1,,,,,
,,,,,,,,,,2186,+8.4,,,,,
,,,,,,,,,,2187,+0.0,,,,,
,,,,,,,,,,2188,-27.5,,,,,
,,,,,,,,,,2189,-7.0,,,,,
,,,,,,,,,,2190,+0.0,,,,,
,,,,,,,,,,2191,+6.1,,,,,
,,,,,,,,,,2192,-26.1,,,,,
,,,,,,,,,,2193,+0.0,,,,,
,,,,,,,,,,2194,+14.1,,,,,
,,,,,,,,,,2195,+16.5,,,,,
,,,,,,,,,,2196,+0.0,,,,,
,,,,,,,,,,2197,+4.5,,,,,
,,,,,,,,,,2198,-21.1,,,,,
,,,,,,,,,,2199,+0.0,,,,,
,,,,,,,,,,2200,-2.1,,,,,
,,,,,,,,,,2201,-28.1,,,,,
,,,,,,,,,,2202,+0.0,,,,,
,,,,,,,,,,2203,+0.8,,,,,
,,,,,,,,,,2204,-26.2,,,,,
,,,,,,,,,,2205,+0.0,,,,,
,,,,,,,,,,2206,-5.5,,,,,
,,,,,,,,,,2207,-22.3,,,,,
,,,,,,,,,,2208,+0.0,,,,,
,,,,,,,,,,2209,+47.4,,,,,
,,,,,,,,,,2210,+51.5,,,,,
,,,,,,,,,,2211,+0.0,,,,,
,,,,,,,,,,2212,+6.8,,,,,
,,,,,,,,,,2213,-24.5,,,,,
,,,,,,,,,,2214,+0.0,,,,,
,,,,,,,,,,2215,+6.8,,,,,
,,,,,,,,,,2216,+31.6,,,,,
,,,,,,,,,,2217,+0.0,,,,,
,,,,,,,,,,2218,-16.1,,,,,
,,,,,,,,,,2219,+26.9,,,,,
,,,,,,,,,,2220,+0.0,,,,,
,,,,,,,,,,2221,+6.6,,,,,
,,,,,,,,,,2222,+28.8,,,,,
,,,,,,,,,,2223,+0.0,,,,,
,,,,,,,,,,2224,+4.4,,,,,
,,,,,,,,,,2225,+20.3,,,,,
,,,,,,,,,,2226,+0.0,,,,,
,,,,,,,,,,2227,+18.3,,,,,
,,,,,,,,,,2228,+16.7,,,,,
,,,,,,,,,,2229,+0.0,,,,,
,,,,,,,,,,2230,+19.2,,,,,
,,,,,,,,,,2231,+27.8,,,,,
,,,,,,,,,,2232,+0.0,,,,,
,,,,,,,,,,2233,+12.4,,,,,
,,,,,,,,,,2234,+13.0,,,,,
,,,,,,,,,,2235,+0.0,,,,,
,,,,,,,,,,2236,+61.5,,,,,
,,,,,,,,,,2237,+8.8,,,,,
,,,,,,,,,,2238,+0.0,,,,,
,,,,,,,,,,2239,-2.0,,,,,
,,,,,,,,,,2240,+35.2,,,,,
,,,,,,,,,,2241,+0.0,,,,,
,,,,,,,,,,2242,+30.5,,,,,
,,,,,,,,,,2243,+34.9,,,,,
,,,,,,,,,,2244,+0.0,,,,,
,,,,,,,,,,2245,+12.2,,,,,
,,,,,,,,,,2246,-40.6,,,,,
,,,,,,,,,,2247,+0.0,,,,,
,,,,,,,,,,2248,+32.4,,,,,
,,,,,,,,,,2249,+48.0,,,,,
,,,,,,,,,,2250,+0.0,,,,,
,,,,,,,,,,2251,+55.1,,,,,
,,,,,,,,,,2252,+35.1,,,,,
,,,,,,,,,,2253,+0.0,,,,,
,,,,,,,,,,2254,+40.9,,,,,
,,,,,,,,,,2255,+31.7,,,,,
,,,,,,,,,,2256,+0.0,,,,,
,,,,,,,,,,2257,-1.4,,,,,
,,,,,,,,,,2258,-18.4,,,,,
,,,,,,,,,,2259,+0.0,,,,,
,,,,,,,,,,2260,-8.7,,,,,
,,,,,,,,,,2261,-35.5,,,,,
,,,,,,,,,,2262,+0.0,,,,,
,,,,,,,,,,2263,+28.8,,,,,
,,,,,,,,,,2264,+41.4,,,,,
,,,,,,,,,,2265,+0.0,,,,,
,,,,,,,,,,2266,+12.6,,,,,
,,,,,,,,,,2267,-28.7,,,,,
,,,,,,,,,,2268,+0.0,,,,,
,,,,,,,,,,2269,+14.9,,,,,
,,,,,,,,,,2270,+42.7,,,,,
,,,,,,,,,,2271,+0.0,,,,,
,,,,,,,,,,2272,-24.0,,,,,
,,,,,,,,,,2273,-25.6,,,,,
,,,,,,,,,,2274,+0.0,,,,,
,,,,,,,,,,2275,+4.0,,,,,
,,,,,,,,,,2276,-24.1,,,,,
,,,,,,,,,,2277,+0.0,,,,,
,,,,,,,,,,2278,-4.5,,,,,
,,,,,,,,,,2279,-34.5,,,,,
,,,,,,,,,,2280,+0.0,,,,,
,,,,,,,,,,2281,-30.5,,,,,
,,,,,,,,,,2282,-33.8,,,,,
,,,,,,,,,,2283,+0.0,,,,,
,,,,,,,,,,2284,-31.3,,,,,
,,,,,,,,,,2285,-6.5,,,,,
,,,,,,,,,,2286,+0.0,,,,,
,,,,,,,,,,2287,-22.4,,,,,
,,,,,,,,,,2288,+3.1,,,,,
,,,,,,,,,,2289,+0.0,,,,,
,,,,,,,,,,2290,+1.3,,,,,
,,,,,,,,,,2291,+26.1,,,,,
,,,,,,,,,,2292,+0.0,,,,,
,,,,,,,,,,2293,+5.6,,,,,
,,,,,,,,,,2294,-19.4,,,,,
,,,,,,,,,,2295,+0.0,,,,,
,,,,,,,,,,2296,+14.8,,,,,
,,,,,,,,,,2297,+14.2,,,,,
,,,,,,,,,,2298,+0.0,,,,,
,,,,,,,,,,2299,-42.3,,,,,
,,,,,,,,,,2300,-49.1,,,,,
,,,,,,,,,,2301,+0.0,,,,,
,,,,,,,,,,2302,+11.4,,,,,
,,,,,,,,,,2303,+53.4,,,,,
,,,,,,,,,,2304,+0.0,,,,,
,,,,,,,,,,2305,+22.2,,,,,
,,,,,,,,,,2306,-9.4,,,,,
,,,,,,,,,,2307,+0.0,,,,,
,,,,,,,,,,2308,+9.1,,,,,
,,,,,,,,,,2309,-20.4,,,,,
,,,,,,,,,,2310,+0.0,,,,,
,,,,,,,,,,2311,-36.1,,,,,
,,,,,,,,,,2312,-7.3,,,,,
,,,,,,,,,,2313,+0.0,,,,,
,,,,,,,,,,2314,-3.0,,,,,
,,,,,,,,,,2315,-31.5,,,,,
,,,,,,,,,,2316,+0.0,,,,,
,,,,,,,,,,2317,+32.5,,,,,
,,,,,,,,,,2318,+21.3,,,,,
,,,,,,,,,,2319,+0.0,,,,,
,,,,,,,,,,2320,-22.4,,,,,
,,,,,,,,,,2321,-69.1,,,,,
,,,,,,,,,,2322,+0.0,,,,,
,,,,,,,,,,2323,+15.2,,,,,
,,,,,,,,,,2324,+18.3,,,,,
,,,,,,,,,,2325,+0.0,,,,,
,,,,,,,,,,2326,+1.6,,,,,
,,,,,,,,,,2327,-48.9,,,,,
,,,,,,,,,,2328,+0.0,,,,,
,,,,,,,,,,2329,+26.8,,,,,
,,,,,,,,,,2330,+40.1,,,,,
,,,,,,,,,,2331,+0.0,,,,,
